hold_days,stop_loss_frac,entry_threshold,total_return_pct,sharpe,max_drawdown_pct,hit_rate_pct,entries,exits,avg_days_held,stop_loss_exit_count
3,0.1,0.001,1.4540204354268838,-2.6720823260881463,-4.2850453681572285,1.0130631831511596,53,53,2.641509433962264,25
3,0.2,,-57.608437480720575,-1.0767676026164148,-59.16791526268751,4.558784324180219,278,278,2.672661870503597,118
3,0.2,0.0,-20.487937585734528,-1.809991224495228,-25.434560918739013,2.1860837110103972,135,135,2.6148148148148147,70
3,0.2,0.0005,-9.993013564181009,-2.521013084293389,-15.581045247629866,1.626233004532125,94,94,2.5851063829787235,47
3,0.2,0.001,1.8869640260088971,-2.646130927851986,-4.2850453681572285,1.0663822980538524,53,53,2.69811320754717,21
3,0.3,,-56.15083293303357,-1.0767431371020928,-57.73172963792964,4.718741668888296,277,277,2.7184115523465704,99
3,0.3,0.0,-20.627856824539514,-1.8125629514826942,-25.567330411055167,2.2394028259130896,135,135,2.6666666666666665,60
3,0.3,0.0005,-10.048925808740005,-2.5220381099510374,-15.63376734998229,1.6795521194348173,94,94,2.648936170212766,41
3,0.3,0.001,1.8830076629438919,-2.6459247933290713,-4.301880848761082,1.1197014129565448,53,53,2.7735849056603774,17
3,0.4,,-57.909830094540595,-1.0740240003885766,-59.46256182133893,4.852039456145028,276,276,2.760869565217391,86
3,0.4,0.0,-20.735596290942524,-1.8160814678717991,-25.667678727250305,2.2660623833644364,135,135,2.7037037037037037,53
3,0.4,0.0005,-10.099327863527996,-2.5224242818287905,-15.679419730970922,1.7062116768861637,94,94,2.6808510638297873,37
3,0.4,0.001,1.8830076629438919,-2.6459247933290713,-4.301880848761082,1.1197014129565448,53,53,2.7735849056603774,16
4,,,-48.804984867421375,-0.9193438245160116,-51.81657635862662,7.038123167155426,239,239,4.0,0
4,,0.0,-19.001963945630894,-1.8603518139105415,-25.278542046144697,3.439082911223674,126,126,4.0,0
4,,0.0005,-12.31239926431089,-2.4577756343213455,-18.32742814267822,2.6392961876832843,89,89,4.0,0
4,,0.001,-0.15685056553351728,-2.5657250306765356,-5.618197067529675,1.5462543321780857,51,51,4.0,0
4,0.1,,-43.47336748963115,-1.1058186312381666,-45.175741001309525,5.491868834977339,267,267,3.0823970037453186,146
4,0.1,0.0,-17.387483006015593,-1.9199542290942921,-22.8775473061155,2.5859770727805915,131,131,2.9770992366412212,81
4,0.1,0.0005,-9.602251549225095,-2.491322753318566,-15.495699689023418,1.999466808850973,93,93,3.0,56
4,0.1,0.001,-0.7720786590827089,-2.702121285115624,-4.754625708337938,1.1730205278592376,51,51,3.176470588235294,26
