K,hold_days,dte_min,dte_max,filter,total_return_pct,sharpe,max_drawdown_pct,hit_rate_pct,entries,exits,avg_days_held
1,20,30,45,pred_top_half,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
1,20,30,60,none,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
1,20,30,60,pred_top_half,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
2,20,20,40,pred_top_half,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
2,20,25,45,pred_top_half,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
2,20,30,45,pred_top_half,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
2,20,30,60,pred_top_half,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
1,25,20,40,none,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
1,25,20,40,pred_top_half,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
1,25,25,45,none,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
1,25,25,45,pred_top_half,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
1,25,30,45,none,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
1,25,30,45,pred_top_half,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
1,25,30,60,none,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
1,25,30,60,pred_top_half,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
2,25,20,40,pred_top_half,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
2,25,25,45,pred_top_half,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
2,25,30,45,pred_top_half,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
2,25,30,60,pred_top_half,-6.681611774036766,-1.8554550134217955,-9.490535680771485,16.182351372967208,60,60,25.0
1,20,20,40,pred_pos,-9.224023613566501,-1.9834033896499728,-13.513319465346518,14.209544121567582,66,66,20.0
1,20,25,45,pred_pos,-9.224023613566501,-1.9834033896499728,-13.513319465346518,14.209544121567582,66,66,20.0
1,20,30,45,pred_pos,-9.224023613566501,-1.9834033896499728,-13.513319465346518,14.209544121567582,66,66,20.0
1,20,30,60,pred_pos,-9.224023613566501,-1.9834033896499728,-13.513319465346518,14.209544121567582,66,66,20.0
2,20,20,40,pred_pos,-10.024777563077992,-1.8163887683806836,-13.742183708472497,14.609437483337775,76,76,20.0
2,20,25,45,pred_pos,-10.024777563077992,-1.8163887683806836,-13.742183708472497,14.609437483337775,76,76,20.0
2,20,30,45,pred_pos,-10.024777563077992,-1.8163887683806836,-13.742183708472497,14.609437483337775,76,76,20.0
2,20,30,60,pred_pos,-10.024777563077992,-1.8163887683806836,-13.742183708472497,14.609437483337775,76,76,20.0
4,20,20,40,pred_pos,-10.599908018039494,-1.7932931033117216,-13.751321693419136,14.636097040789123,79,79,20.0
4,20,25,45,pred_pos,-10.599908018039494,-1.7932931033117216,-13.751321693419136,14.636097040789123,79,79,20.0
4,20,30,45,pred_pos,-10.599908018039494,-1.7932931033117216,-13.751321693419136,14.636097040789123,79,79,20.0
4,20,30,60,pred_pos,-10.599908018039494,-1.7932931033117216,-13.751321693419136,14.636097040789123,79,79,20.0
3,20,20,40,pred_pos,-10.599908018039494,-1.7932931033117225,-13.751321693419136,14.636097040789123,79,79,20.0
3,20,25,45,pred_pos,-10.599908018039494,-1.7932931033117225,-13.751321693419136,14.636097040789123,79,79,20.0
3,20,30,45,pred_pos,-10.599908018039494,-1.7932931033117225,-13.751321693419136,14.636097040789123,79,79,20.0
3,20,30,60,pred_pos,-10.599908018039494,-1.7932931033117225,-13.751321693419136,14.636097040789123,79,79,20.0
2,10,20,40,pred_pos,-10.763756587177253,-2.366340223875622,-16.102382967735217,7.971207677952546,90,90,10.0
2,10,25,45,pred_pos,-10.763756587177253,-2.366340223875622,-16.102382967735217,7.971207677952546,90,90,10.0
2,10,30,45,pred_pos,-10.763756587177253,-2.366340223875622,-16.102382967735217,7.971207677952546,90,90,10.0
2,10,30,60,pred_pos,-10.763756587177253,-2.366340223875622,-16.102382967735217,7.971207677952546,90,90,10.0
1,10,20,40,pred_pos,-10.98123237241575,-2.628202337344122,-14.6727631479977,7.784590775793123,78,78,10.0
1,10,25,45,pred_pos,-10.98123237241575,-2.628202337344122,-14.6727631479977,7.784590775793123,78,78,10.0
1,10,30,45,pred_pos,-10.98123237241575,-2.628202337344122,-14.6727631479977,7.784590775793123,78,78,10.0
